    11  33 
        0.6590140096       -0.0000191226        0.0082018632 
        0.0000000000        0.0000000000        0.0000000000 
       -0.0588957723        0.0000033030        0.0325333456 
       -0.1514098810       -0.0712814571        0.0430690383 
       -0.1513962416        0.0712901209        0.0430663761 
        0.0047337010        0.0002724014       -0.0045450886 
        0.0047296027       -0.0002729755       -0.0045451172 
       -0.0503744572        0.0000002167        0.0097592669 
       -0.2543732086        0.0000076516       -0.1242701810 
        0.0043087413       -0.0000000438        0.0001224575 
       -0.0063364939       -0.0000000945       -0.0033919607 
       -0.0000191226        0.2136429205        0.0000001998 
        0.0000000000        0.0000000000        0.0000000000 
        0.0000033030        0.0092462544       -0.0000011010 
       -0.0518371697       -0.0649091479        0.0521387068 
        0.0518452871       -0.0649236126       -0.0521421975 
       -0.0128280723       -0.0054192497       -0.0000869381 
        0.0128273461       -0.0054213014        0.0000860216 
        0.0000005386       -0.0380902637        0.0000005241 
        0.0000076474       -0.0386722057        0.0000044703 
       -0.0000002742       -0.0020204049        0.0000004937 
        0.0000005166       -0.0034329890       -0.0000001798 
        0.0082018632        0.0000001998        0.6244304309 
        0.0000000000        0.0000000000        0.0000000000 
       -0.0325333456        0.0000011010        0.0137258315 
        0.0549390853        0.0815862746       -0.0938697085 
        0.0549315352       -0.0815910763       -0.0938701289 
        0.0147837165       -0.0038581637       -0.0070769418 
        0.0147852804        0.0038566814       -0.0070770997 
        0.0106525457       -0.0000004590       -0.3122412252 
       -0.1173667682        0.0000049114       -0.1266136387 
       -0.0044984717        0.0000002255        0.0042190556 
       -0.0038954408        0.0000003052       -0.0016265752 
