    4    6
        0.5900742497        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.4772338400        0.0000187947
        0.0298567898        0.0517136002        0.0000000000
        0.0000000000        0.0000187947        0.4772338298
        0.0517093000       -0.0298573596        0.0000000000
        0.0000000000        0.0298567898        0.0517093000
        0.2189257100        0.0000026552        0.0000000000
        0.0000000000        0.0517136002       -0.0298573596
        0.0000026552        0.2189257395        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0426743600
